Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

    You may contact the writer of this document at: ambientmine AT protonmail DOT com
  
Banjo (Bass, 5-string)

-6 Frets

    5               4               3               2               1

0   C#2  34.64783   G#2  51.91309   C#3  69.29566   F3   87.30706   G#3  103.8262
1   D2   36.7081    A3   55         D3   73.41619   F#3  92.49861   A4   110
2   D#2  38.89087   Bb3  58.27047   D#3  77.78175   G3   97.99886   Bb4  116.5409
3   E2   41.20344   B3   61.73541   E3   82.40689   G#3  103.8262   B4   123.4708
4   F2   43.65353   C3   65.40639   F3   87.30706   A4   110        C4   130.8128
5   F#2  46.2493    C#3  69.29566   F#3  92.49861   Bb4  116.5409   C#4  138.5913
6   G2   48.99943   D3   73.41619   G3   97.99886   B4   123.4708   D4   146.8324
7   G#2  51.91309   D#3  77.78175   G#3  103.8262   C4   130.8128   D#4  155.5635
8   A3   55         E3   82.40689   A4   110        C#4  138.5913   E4   164.8138
9   Bb3  58.27047   F3   87.30706   Bb4  116.5409   D4   146.8324   F4   174.6141
10  B3   61.73541   F#3  92.49861   B4   123.4708   D#4  155.5635   F#4  184.9972
11  C3   65.40639   G3   97.99886   C4   130.8128   E4   164.8138   G4   195.9977
12  C#3  69.29566   G#3  103.8262   C#4  138.5913   F4   174.6141   G#4  207.6523
13  D3   73.41619   A4   110        D4   146.8324   F#4  184.9972   A5   220
14  D#3  77.78175   Bb4  116.5409   D#4  155.5635   G4   195.9977   Bb5  233.0819
15  E3   82.40689   B4   123.4708   E4   164.8138   G#4  207.6523   B5   246.9417
16  F3   87.30706   C4   130.8128   F4   174.6141   A5   220        C5   261.6256
17  F#3  92.49861   C#4  138.5913   F#4  184.9972   Bb5  233.0819   C#5  277.1826
18  G3   97.99886   D4   146.8324   G5   195.9977   B5   246.9417   D5   293.6648
19  G#3  103.8262   D#4  155.5635   G#5  207.6523   C5   261.6256   D#5  311.127

-5 Frets

    5               4               3               2               1

0   D2   36.7081    A3   55         D3   73.41619   F#3  92.49861   A4   110
1   D#2  38.89087   Bb3  58.27047   D#3  77.78175   G3   97.99886   Bb4  116.5409
2   E2   41.20344   B3   61.73541   E3   82.40689   G#3  103.8262   B4   123.4708
3   F2   43.65353   C3   65.40639   F3   87.30706   A4   110        C4   130.8128
4   F#2  46.2493    C#3  69.29566   F#3  92.49861   Bb4  116.5409   C#4  138.5913
5   G2   48.99943   D3   73.41619   G3   97.99886   B4   123.4708   D4   146.8324
6   G#2  51.91309   D#3  77.78175   G#3  103.8262   C4   130.8128   D#4  155.5635
7   A3   55         E3   82.40689   A4   110        C#4  138.5913   E4   164.8138
8   Bb3  58.27047   F3   87.30706   Bb4  116.5409   D4   146.8324   F4   174.6141
9   B3   61.73541   F#3  92.49861   B4   123.4708   D#4  155.5635   F#4  184.9972
10  C3   65.40639   G3   97.99886   C4   130.8128   E4   164.8138   G4   195.9977
11  C#3  69.29566   G#3  103.8262   C#4  138.5913   F4   174.6141   G#4  207.6523
12  D3   73.41619   A4   110        D4   146.8324   F#4  184.9972   A5   220
13  D#3  77.78175   Bb4  116.5409   D#4  155.5635   G4   195.9977   Bb5  233.0819
14  E3   82.40689   B4   123.4708   E4   164.8138   G#4  207.6523   B5   246.9417
15  F3   87.30706   C4   130.8128   F4   174.6141   A5   220        C5   261.6256
16  F#3  92.49861   C#4  138.5913   F#4  184.9972   Bb5  233.0819   C#5  277.1826
17  G3   97.99886   D4   146.8324   G5   195.9977   B5   246.9417   D5   293.6648
18  G#3  103.8262   D#4  155.5635   G#5  207.6523   C5   261.6256   D#5  311.127
19  A4   110        E4   164.8138   A6   220        C#5  277.1826   E5   329.6276

-4 Frets

    5               4               3               2               1

0   D#2  38.89087   Bb3  58.27047   D#3  77.78175   G3   97.99886   Bb4  116.5409
1   E2   41.20344   B3   61.73541   E3   82.40689   G#3  103.8262   B4   123.4708
2   F2   43.65353   C3   65.40639   F3   87.30706   A4   110        C4   130.8128
3   F#2  46.2493    C#3  69.29566   F#3  92.49861   Bb4  116.5409   C#4  138.5913
4   G2   48.99943   D3   73.41619   G3   97.99886   B4   123.4708   D4   146.8324
5   G#2  51.91309   D#3  77.78175   G#3  103.8262   C4   130.8128   D#4  155.5635
6   A3   55         E3   82.40689   A4   110        C#4  138.5913   E4   164.8138
7   Bb3  58.27047   F3   87.30706   Bb4  116.5409   D4   146.8324   F4   174.6141
8   B3   61.73541   F#3  92.49861   B4   123.4708   D#4  155.5635   F#4  184.9972
8   C3   65.40639   G3   97.99886   C4   130.8128   E4   164.8138   G4   195.9977
10  C#3  69.29566   G#3  103.8262   C#4  138.5913   F4   174.6141   G#4  207.6523
11  D3   73.41619   A4   110        D4   146.8324   F#4  184.9972   A5   220
12  D#3  77.78175   Bb4  116.5409   D#4  155.5635   G4   195.9977   Bb5  233.0819
13  E3   82.40689   B4   123.4708   E4   164.8138   G#4  207.6523   B5   246.9417
14  F3   87.30706   C4   130.8128   F4   174.6141   A5   220        C5   261.6256
15  F#3  92.49861   C#4  138.5913   F#4  184.9972   Bb5  233.0819   C#5  277.1826
16  G3   97.99886   D4   146.8324   G5   195.9977   B5   246.9417   D5   293.6648
17  G#3  103.8262   D#4  155.5635   G#5  207.6523   C5   261.6256   D#5  311.127
18  A4   110        E4   164.8138   A6   220        C#5  277.1826   E5   329.6276
19  Bb4  116.5409   F4   174.6141   Bb6  233.0819   D5   293.6648   F5   349.2282

-3 Frets

    5               4               3               2               1

0   E2   41.20344   B3   61.73541   E3   82.40689   G#3  103.8262   B4   123.4708
1   F2   43.65353   C3   65.40639   F3   87.30706   A4   110        C4   130.8128
2   F#2  46.2493    C#3  69.29566   F#3  92.49861   Bb4  116.5409   C#4  138.5913
3   G2   48.99943   D3   73.41619   G3   97.99886   B4   123.4708   D4   146.8324
4   G#2  51.91309   D#3  77.78175   G#3  103.8262   C4   130.8128   D#4  155.5635
5   A3   55         E3   82.40689   A4   110        C#4  138.5913   E4   164.8138
6   Bb3  58.27047   F3   87.30706   Bb4  116.5409   D4   146.8324   F4   174.6141
7   B3   61.73541   F#3  92.49861   B4   123.4708   D#4  155.5635   F#4  184.9972
8   C3   65.40639   G3   97.99886   C4   130.8128   E4   164.8138   G4   195.9977
9   C#3  69.29566   G#3  103.8262   C#4  138.5913   F4   174.6141   G#4  207.6523
10  D3   73.41619   A4   110        D4   146.8324   F#4  184.9972   A5   220
11  D#3  77.78175   Bb4  116.5409   D#4  155.5635   G4   195.9977   Bb5  233.0819
12  E3   82.40689   B4   123.4708   E4   164.8138   G#4  207.6523   B5   246.9417
13  F3   87.30706   C4   130.8128   F4   174.6141   A5   220        C5   261.6256
14  F#3  92.49861   C#4  138.5913   F#4  184.9972   Bb5  233.0819   C#5  277.1826
15  G3   97.99886   D4   146.8324   G5   195.9977   B5   246.9417   D5   293.6648
16  G#3  103.8262   D#4  155.5635   G#5  207.6523   C5   261.6256   D#5  311.127
17  A4   110        E4   164.8138   A6   220        C#5  277.1826   E5   329.6276
18  Bb4  116.5409   F4   174.6141   Bb6  233.0819   D5   293.6648   F5   349.2282
19  B4   123.4708   F#4  184.9972   B6   246.9417   D#5  311.127    F#5  369.9944

-2 Frets

    5               4               3               2               1

0   F2   43.65353   C3   65.40639   F3   87.30706   A4   110        C4   130.8128
1   F#2  46.2493    C#3  69.29566   F#3  92.49861   Bb4  116.5409   C#4  138.5913
2   G2   48.99943   D3   73.41619   G3   97.99886   B4   123.4708   D4   146.8324
3   G#2  51.91309   D#3  77.78175   G#3  103.8262   C4   130.8128   D#4  155.5635
4   A3   55         E3   82.40689   A4   110        C#4  138.5913   E4   164.8138
5   Bb3  58.27047   F3   87.30706   Bb4  116.5409   D4   146.8324   F4   174.6141
6   B3   61.73541   F#3  92.49861   B4   123.4708   D#4  155.5635   F#4  184.9972
7   C3   65.40639   G3   97.99886   C4   130.8128   E4   164.8138   G4   195.9977
8   C#3  69.29566   G#3  103.8262   C#4  138.5913   F4   174.6141   G#4  207.6523
9   D3   73.41619   A4   110        D4   146.8324   F#4  184.9972   A5   220
10  D#3  77.78175   Bb4  116.5409   D#4  155.5635   G4   195.9977   Bb5  233.0819
11  E3   82.40689   B4   123.4708   E4   164.8138   G#4  207.6523   B5   246.9417
12  F3   87.30706   C4   130.8128   F4   174.6141   A5   220        C5   261.6256
13  F#3  92.49861   C#4  138.5913   F#4  184.9972   Bb5  233.0819   C#5  277.1826
14  G3   97.99886   D4   146.8324   G5   195.9977   B5   246.9417   D5   293.6648
15  G#3  103.8262   D#4  155.5635   G#5  207.6523   C5   261.6256   D#5  311.127
16  A4   110        E4   164.8138   A6   220        C#5  277.1826   E5   329.6276
17  Bb4  116.5409   F4   174.6141   Bb6  233.0819   D5   293.6648   F5   349.2282
18  B4   123.4708   F#4  184.9972   B6   246.9417   D#5  311.127    F#5  369.9944
