Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

    You may contact the writer of this document at: ambientmine AT protonmail DOT com
  
Banjo (Bass, 5-string)

-2 Frets

    5               4               3               2               1

0   F2   43.65353   C3   65.40639   F3   87.30706   A4   110        C4   130.8128
1   F#2  46.2493    C#3  69.29566   F#3  92.49861   Bb4  116.5409   C#4  138.5913
2   G2   48.99943   D3   73.41619   G3   97.99886   B4   123.4708   D4   146.8324
3   G#2  51.91309   D#3  77.78175   G#3  103.8262   C4   130.8128   D#4  155.5635
4   A3   55         E3   82.40689   A4   110        C#4  138.5913   E4   164.8138
5   Bb3  58.27047   F3   87.30706   Bb4  116.5409   D4   146.8324   F4   174.6141
6   B3   61.73541   F#3  92.49861   B4   123.4708   D#4  155.5635   F#4  184.9972
7   C3   65.40639   G3   97.99886   C4   130.8128   E4   164.8138   G4   195.9977
8   C#3  69.29566   G#3  103.8262   C#4  138.5913   F4   174.6141   G#4  207.6523
9   D3   73.41619   A4   110        D4   146.8324   F#4  184.9972   A5   220
10  D#3  77.78175   Bb4  116.5409   D#4  155.5635   G4   195.9977   Bb5  233.0819
11  E3   82.40689   B4   123.4708   E4   164.8138   G#4  207.6523   B5   246.9417
12  F3   87.30706   C4   130.8128   F4   174.6141   A5   220        C5   261.6256
13  F#3  92.49861   C#4  138.5913   F#4  184.9972   Bb5  233.0819   C#5  277.1826
14  G3   97.99886   D4   146.8324   G5   195.9977   B5   246.9417   D5   293.6648
15  G#3  103.8262   D#4  155.5635   G#5  207.6523   C5   261.6256   D#5  311.127
16  A4   110        E4   164.8138   A6   220        C#5  277.1826   E5   329.6276
17  Bb4  116.5409   F4   174.6141   Bb6  233.0819   D5   293.6648   F5   349.2282
18  B4   123.4708   F#4  184.9972   B6   246.9417   D#5  311.127    F#5  369.9944
19  C4   130.8128   G4   195.9977   C6   261.6256   E5   329.6256   G5   391.9954

-1 Fret

    5               4               3               2               1

0   F#2  46.2493    C#3  69.29566   F#3  92.49861   Bb4  116.5409   C#4  138.5913
1   G2   48.99943   D3   73.41619   G3   97.99886   B4   123.4708   D4   146.8324
2   G#2  51.91309   D#3  77.78175   G#3  103.8262   C4   130.8128   D#4  155.5635
3   A3   55         E3   82.40689   A4   110        C#4  138.5913   E4   164.8138
4   Bb3  58.27047   F3   87.30706   Bb4  116.5409   D4   146.8324   F4   174.6141
5   B3   61.73541   F#3  92.49861   B4   123.4708   D#4  155.5635   F#4  184.9972
6   C3   65.40639   G3   97.99886   C4   130.8128   E4   164.8138   G4   195.9977
7   C#3  69.29566   G#3  103.8262   C#4  138.5913   F4   174.6141   G#4  207.6523
8   D3   73.41619   A4   110        D4   146.8324   F#4  184.9972   A5   220
9   D#3  77.78175   Bb4  116.5409   D#4  155.5635   G4   195.9977   Bb5  233.0819
10  E3   82.40689   B4   123.4708   E4   164.8138   G#4  207.6523   B5   246.9417
11  F3   87.30706   C4   130.8128   F4   174.6141   A5   220        C5   261.6256
12  F#3  92.49861   C#4  138.5913   F#4  184.9972   Bb5  233.0819   C#5  277.1826
13  G3   97.99886   D4   146.8324   G5   195.9977   B5   246.9417   D5   293.6648
14  G#3  103.8262   D#4  155.5635   G#5  207.6523   C5   261.6256   D#5  311.127
15  A4   110        E4   164.8138   A6   220        C#5  277.1826   E5   329.6276
16  Bb4  116.5409   F4   174.6141   Bb6  233.0819   D5   293.6648   F5   349.2282
17  B4   123.4708   F#4  184.9972   B6   246.9417   D#5  311.127    F#5  369.9944
18  C4   130.8128   G4   195.9977   C6   261.6256   E5   329.6256   G5   391.9954
19  C#4  138.5913   G#4  207.6523   C#6  277.1826   F5   349.2282   G#5  415.3047

Standard Tuning

    5               4               3               2               1

0   G2   48.99943   D3   73.41619   G3   97.99886   B4   123.4708   D4   146.8324
1   G#2  51.91309   D#3  77.78175   G#3  103.8262   C4   130.8128   D#4  155.5635
2   A3   55         E3   82.40689   A4   110        C#4  138.5913   E4   164.8138
3   Bb3  58.27047   F3   87.30706   Bb4  116.5409   D4   146.8324   F4   174.6141
4   B3   61.73541   F#3  92.49861   B4   123.4708   D#4  155.5635   F#4  184.9972
5   C3   65.40639   G3   97.99886   C4   130.8128   E4   164.8138   G4   195.9977
6   C#3  69.29566   G#3  103.8262   C#4  138.5913   F4   174.6141   G#4  207.6523
7   D3   73.41619   A4   110        D4   146.8324   F#4  184.9972   A5   220
8   D#3  77.78175   Bb4  116.5409   D#4  155.5635   G4   195.9977   Bb5  233.0819
9   E3   82.40689   B4   123.4708   E4   164.8138   G#4  207.6523   B5   246.9417
10  F3   87.30706   C4   130.8128   F4   174.6141   A5   220        C5   261.6256
11  F#3  92.49861   C#4  138.5913   F#4  184.9972   Bb5  233.0819   C#5  277.1826
12  G3   97.99886   D4   146.8324   G5   195.9977   B5   246.9417   D5   293.6648
13  G#3  103.8262   D#4  155.5635   G#5  207.6523   C5   261.6256   D#5  311.127
14  A4   110        E4   164.8138   A6   220        C#5  277.1826   E5   329.6276
15  Bb4  116.5409   F4   174.6141   Bb6  233.0819   D5   293.6648   F5   349.2282
16  B4   123.4708   F#4  184.9972   B6   246.9417   D#5  311.127    F#5  369.9944
17  C4   130.8128   G4   195.9977   C6   261.6256   E5   329.6256   G5   391.9954
18  C#4  138.5913   G#4  207.6523   C#6  277.1826   F5   349.2282   G#5  415.3047
19  D4   146.8324   A5   220        D6   293.6648   F#5  369.9944   A6   440
